id,borough_county,primary_sector,entity_trade_name,annual_turnover,entity_status,country_of_primary_operation,Coal_Consumption_By_Sector(toe),Electricity_Consumption_By_Structure(toe),Gas_Consumption_By_Structure(toe),Geographic Code,Local Authority,NG_Consumption_By_Sector(toe),Petrol_Consumption_By_Sector(toe),Region,SIC Group,Section,Sector,Structure_Type
606,Kensington and Chelsea,77-82 : Business administration & support services,"Green, Palmer, Hughes, Porter, Davies, Evans, Davies",0-632k,1,United Kingdom,0,76.99206911,112.8324728,E09000020,Kensington and Chelsea,0.111230086,0.021225197,,77-82,N,Business administration & support services,Other
607,Surrey Heath,"69-75 : Professional, scientific & technical","Graham-Bradley, Wallace-Jones, Gilbert, Roberts McKenzie",0-632k,1,United Kingdom,0,3.227378002,3.508465106,E07000214,Surrey Heath,0.208992511,0,,69-75,M,"Professional, scientific & technical",Shop
608,Liverpool,"90-99 : Arts, entertainment, recreation & other","Leach, Bailey, Akhtar, Naylor, Macdonald",0-632k,0,United Kingdom,0,2.098274993,2.402368068,E08000012,Liverpool,0.047666969,0,,90-99,S,"Arts, entertainment, recreation & other",Shop
609,Barking and Dagenham,64-66 : Finance & insurance,"Nicholls-Richards, Edwards, Todd, Clarke, Russell, Hall, Kent",0-632k,1,United Kingdom,0,44.1425226,24.7742258,E09000002,Barking and Dagenham,0.083137633,0.014702577,,64-66,K,Finance & insurance,Other
610,Hambleton,"90-99 : Arts, entertainment, recreation & other","Lewis, McCarthy, Hartley-Pearce, Shaw-Spencer Thomas-Cooper",0-632k,1,United Kingdom,0,3.774854339,5.05404785,E07000164,Hambleton,0,0,,90-99,T,"Arts, entertainment, recreation & other",Shop
611,Cheshire East,77-82 : Business administration & support services,"Ford, Davies, Taylor, Barnes-Barnes, Richards",0-632k,1,United Kingdom,0,23.33450424,36.84358255,E06000049,Cheshire East,0.633142302,0.244739578,,77-82,N,Business administration & support services,Factory
612,Camden,68 : Property,"Clark, Hunt-Davies, Ashton, Edwards-Rowley Pearson-White",0-632k,0,United Kingdom,0,3.594336918,4.324695315,E09000007,Camden,0.065130497,0,,68,L,Property,Shop
613,Swansea,47 : Retail,"Hayes, Wright-Greenwood, Ahmed, Brennan-Parker Walton, Lord, Davis",0-632k,1,United Kingdom,0,31.75769188,34.65515932,W06000011,Swansea,0.585341022,0.217155719,,47,G,Retail,Other
614,Leeds,68 : Property,"Norris-Fisher, Tomlinson-Carr, Marsh, Wilson-Morris Marshall, Winter, Chamberlain",0-632k,1,United Kingdom,0,11.39159343,12.2391486,E08000035,Leeds,0.470248964,0.046100241,,68,L,Property,Warehouse
615,Oldham,41-43 : Construction,"Hartley, Patel, Parry, Robinson-Fox, Turner-Bull",0-632k,1,United Kingdom,0,2.034537657,2.967240746,E08000004,Oldham,0.247625929,0,,41-43,F,Construction,Shop
616,Maidstone,"90-99 : Arts, entertainment, recreation & other","Morgan-Read, Bates, James, Vincent, Parker-Ward",0-632k,1,United Kingdom,0,26.37265687,21.7253583,E07000110,Maidstone,0.13324239,0.01327215,,90-99,S,"Arts, entertainment, recreation & other",Other
617,Malvern Hills,"90-99 : Arts, entertainment, recreation & other","Hutchinson, Wells, Gardner, Morris, Phillips",0-632k,1,United Kingdom,0.009688748,9.205270653,5.466375751,E07000235,Malvern Hills,0.129696354,0.011995776,,90-99,R,"Arts, entertainment, recreation & other",Factory
618,Ryedale,84 : Public administration & defence,"Joyce, Scott, Brown, Jones, Higgins-Vincent",0-632k,1,United Kingdom,0,24.09281725,37.15481069,E07000167,Ryedale,0.321697606,0.007289333,,84,O,Public administration & defence,Other
619,Southwark,77-82 : Business administration & support services,"Hill, Pollard, Glover, Wright, Wright",0-632k,1,United Kingdom,0,6.643119003,4.720041574,E09000028,Southwark,0.097820562,0,,77-82,N,Business administration & support services,Office
620,Eastleigh,05-39 : Production,"Giles, Barrett, Burke, Taylor, Edwards",0-632k,1,United Kingdom,0,24.02275303,14.562627,E07000086,Eastleigh,9.743480264,0.03939925,,May-39,C,Production,Other
621,Dorset,77-82 : Business administration & support services,"Fisher-Begum, May, Ford, Pratt, Field-Davis",0-632k,1,United Kingdom,0,12.49497357,6.889049764,E10000009,Dorset,0.217009158,0.171040958,,77-82,N,Business administration & support services,Factory
622,Derbyshire Dales,58-63 : Information & communication,"Morris, Williams, Wilson, Bull, Williamson, Hayward, Cooper",0-632k,1,United Kingdom,0,8.93458738,11.92697803,E07000035,Derbyshire Dales,0.088970739,0,,58-63,J,Information & communication,Office
623,Tonbridge and Malling,86-88 : Health,"Cooper, Smith, Newton, Khan, Kay, John, McDonald",0-632k,1,United Kingdom,0.084965182,36.17470156,26.1488515,E07000115,Tonbridge and Malling,3.450063809,0.055716632,,86-88,Q,Health,Factory
624,Broxbourne,77-82 : Business administration & support services,"Morton-Gilbert, Shah-Doherty, Gregory-Johnson, Steele Williams",0-632k,1,United Kingdom,0,11.35363985,7.352157122,E07000095,Broxbourne,0.415665304,0.229364141,,77-82,N,Business administration & support services,Warehouse
625,Wiltshire,"69-75 : Professional, scientific & technical","Allen, Brady, Lamb, Watson-Smith, Thomas-Parker",0-632k,1,United Kingdom,0,20.08681603,18.11213853,E06000054,Wiltshire,0.263384687,0.014674654,,69-75,M,"Professional, scientific & technical",Other
626,Liverpool,47 : Retail,"Tucker, Cooper, Andrews, Long, Duncan, Rees, Matthews",0-632k,1,United Kingdom,0,2.013483876,2.411098913,E08000012,Liverpool,0.209695377,0,,47,G,Retail,Shop
627,"Newry, Mourne and Down","90-99 : Arts, entertainment, recreation & other","McLean, Harrison, Mitchell, Ward, Willis, Ali, Hutchinson",0-632k,1,United Kingdom,,,,N09000010,"Newry, Mourne and Down",,,,90-99,T,"Arts, entertainment, recreation & other",Office
628,Hounslow,55-56 : Accommodation & food services,"Patel, Fuller, Robson, Anderson-John, Roberts, Knight, Henderson",0-632k,1,United Kingdom,0,3.837588556,2.735892258,E09000018,Hounslow,0.482282259,0,,55-56,I,Accommodation & food services,Shop
629,Worthing,05-39 : Production,"Cartwright, Douglas, Jones-Evans, Marshall, Ward",0-632k,1,United Kingdom,8.444884519,24.30214281,28.55647099,E07000229,Worthing,16.13782687,0.211363985,,May-39,C,Production,Factory
630,Havering,49-53 : Transport & Storage (inc. postal),"Collins-Hewitt, Collier, Lawrence-Evans, Williams, Thompson-Francis",0-632k,1,United Kingdom,0,2.057205434,1.090329477,E09000016,Havering,0.042026882,0,,49-53,H,Transport & Storage (inc. postal),Shop
631,Northampton,47 : Retail,"Chambers, Green, Price, Martin, Scott",0-632k,1,United Kingdom,0,2.872775768,2.528530589,E07000154,Northampton,0.704817574,0,,47,G,Retail,Shop
632,Fife,05-39 : Production,"Watkins, Mills, Bond, Watts, Smith-Coleman",632k-10.2M,1,United Kingdom,,,,S12000047,Fife,,,,May-39,C,Production,Warehouse
633,Lambeth,55-56 : Accommodation & food services,"Bishop, Hughes, Barrett, Begum-Wilson, Connor, Foster, Lee",0-632k,1,United Kingdom,0,1.937364716,1.984149073,E09000022,Lambeth,0.174645854,0,,55-56,I,Accommodation & food services,Shop
634,Basildon,58-63 : Information & communication,"Norton, Martin, Fuller, Lewis, Berry",0-632k,1,United Kingdom,0,4.755203735,3.202491,E07000066,Basildon,0.09718676,0,,58-63,J,Information & communication,Shop
635,Buckinghamshire,46 : Wholesale,"Owen-Howe, Bell, Fox, Stokes, Burke",0-632k,1,United Kingdom,0,2.721749049,2.440481806,E10000002,Buckinghamshire,0.570177971,0,,46,G,Wholesale,Shop
636,Wigan,45 : Motor trades,"Jones-Hopkins, Brookes, Jones, Mitchell-Fisher Mills-Sims",0-632k,1,United Kingdom,0,13.57623602,15.89108393,E08000010,Wigan,1.975604406,0.842966709,,45,G,Motor trades,Warehouse
637,Wychavon,05-39 : Production,"Burrows-Clayton, Evans, Howell, Hooper, Gibson, Hayes, Skinner",0-632k,1,United Kingdom,0,7.641522962,11.43846012,E07000238,Wychavon,9.374811508,0,,May-39,C,Production,Office
638,Richmondshire,"01-03 : Agriculture, forestry & fishing","Harris, Thomas, Hussain-Owen, Bates, Anderson",0-632k,1,United Kingdom,0,3.654657018,2.958936143,E07000166,Richmondshire,0.027841171,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
639,Stockport,"69-75 : Professional, scientific & technical","Wilson-Wilkinson, Wade, Smith-Hopkins, Evans Coates-Atkins",0-632k,1,United Kingdom,0,1.726385925,2.348335656,E08000007,Stockport,0.144279037,0,,69-75,M,"Professional, scientific & technical",Shop
640,Hackney,77-82 : Business administration & support services,"Manning-Holt, Payne-Smith, Metcalfe-Kirk, Anderson Gilbert-Bryant",0-632k,1,United Kingdom,0,2.381054547,2.298666807,E09000012,Hackney,0.075819189,0,,77-82,N,Business administration & support services,Office
641,Southampton,77-82 : Business administration & support services,"Baxter-Clarke, Knowles, Greenwood, Bolton, Williams-Roberts",0-632k,1,United Kingdom,0,26.68842392,32.46688922,E06000045,Southampton,0.77313302,0.255582613,,77-82,N,Business administration & support services,Factory
642,Blaby,77-82 : Business administration & support services,"Bishop, Hill, Clark-Morris, Taylor-Dyer Gibbs, Pugh, Chapman",0-632k,1,United Kingdom,0,26.72424478,19.35839133,E07000129,Blaby,0.977353703,0.352873481,,77-82,N,Business administration & support services,Factory
643,Fife,55-56 : Accommodation & food services,"Thompson-Bailey, Brown, Ward-Lane, Miller, Perkins",0-632k,1,United Kingdom,,,,S12000047,Fife,,,,55-56,I,Accommodation & food services,Office
644,Islington,55-56 : Accommodation & food services,"Kelly-Anderson, Clarke-Hart, Frost, Mills, Johnston-Moore",0-632k,1,United Kingdom,0,2.592421233,1.980133782,E09000019,Islington,0.305113645,0,,55-56,I,Accommodation & food services,Shop
645,North Hertfordshire,"69-75 : Professional, scientific & technical","Roberts-Thompson, Foster, McLean, Kemp, Walker, Barnett, Davies",0-632k,1,United Kingdom,0,17.74514981,13.24104109,E07000099,North Hertfordshire,0.652935879,0.278445326,,69-75,M,"Professional, scientific & technical",Factory
646,Waltham Forest,41-43 : Construction,"Wallace, Flynn-Smith, Singh-Reynolds, Wallis Watts",0-632k,1,United Kingdom,0,5.902553466,7.051850105,E09000031,Waltham Forest,0.379755948,0,,41-43,F,Construction,Office
647,Mid Devon,86-88 : Health,"Griffiths, Williams, Barnes, Davies, Wilkins, Harding, Chan",0-632k,1,United Kingdom,0,8.049807846,10.83545691,E07000042,Mid Devon,1.519920119,0,,86-88,Q,Health,Office
648,Enfield,"69-75 : Professional, scientific & technical","Nash-Chapman, Jones, Jones-Haynes, Green-Hodgson Thomas",0-632k,1,United Kingdom,0,48.44925776,43.1019576,E09000010,Enfield,1.460899165,0.188955109,,69-75,M,"Professional, scientific & technical",Factory
649,Barnsley,"01-03 : Agriculture, forestry & fishing","Phillips-Murphy, Brown, Fitzgerald, Mason, Gray, Banks, Morgan",0-632k,1,United Kingdom,0,17.65291327,39.86364953,E08000016,Barnsley,0.060946818,0.007336612,,01-Mar,A,"Agriculture, forestry & fishing",Other
650,South Somerset,05-39 : Production,"Smith-Davey, Smith, Simpson, Whittaker, Griffiths",0-632k,1,United Kingdom,0,11.45690929,12.71144228,E07000189,South Somerset,14.43451465,0,,May-39,C,Production,Office
651,East Northamptonshire,"90-99 : Arts, entertainment, recreation & other","Campbell, Sutton, Johnson, Atkinson, Brooks",0-632k,1,United Kingdom,0,2.328003719,2.11944355,E07000152,East Northamptonshire,0.177975474,0,,90-99,R,"Arts, entertainment, recreation & other",Shop
652,Wyre,"69-75 : Professional, scientific & technical","Wood-Stevenson, Baker, Green, Barnes, Singh, Fisher, Smith",0-632k,1,United Kingdom,0,13.98058037,20.15089732,E07000128,Wyre,0.622003703,0,,69-75,M,"Professional, scientific & technical",Office
653,Colchester,"90-99 : Arts, entertainment, recreation & other","Taylor, Pearce, Ross, White, Byrne, Patel, Robertson",0-632k,1,United Kingdom,0.014952822,12.18703464,6.740359689,E07000071,Colchester,0.31356478,0.01483065,,90-99,R,"Arts, entertainment, recreation & other",Warehouse
654,Kirklees,"69-75 : Professional, scientific & technical","Giles, Willis, Schofield, Carter-Brookes, Dean, Jenkins, Williams",0-632k,1,United Kingdom,0,6.447795225,12.86121911,E08000034,Kirklees,0.603739991,0.050836859,,69-75,M,"Professional, scientific & technical",Warehouse
655,Redbridge,58-63 : Information & communication,"Austin-Hughes, Patel, Williams, Forster, Townsend-Savage",0-632k,1,United Kingdom,0,11.24866879,9.087877462,E09000026,Redbridge,0.177182651,0.02886777,,58-63,J,Information & communication,Warehouse
656,Cheshire West and Chester,"69-75 : Professional, scientific & technical","Giles, Webb-Carter, Hodgson-Thomas, Marshall-Howell Reynolds-James",0-632k,0,United Kingdom,0,4.796144487,5.365968825,E06000050,Cheshire West and Chester,0.213464365,0,,69-75,M,"Professional, scientific & technical",Shop
657,Stafford,"01-03 : Agriculture, forestry & fishing","Roberts-Harris, Marsh, Parker-Hammond, Ahmed Cooper, Baker, Jenkins",0-632k,1,United Kingdom,0.000587263,9.767908402,10.21507409,E07000197,Stafford,0.176949568,0.019959537,,01-Mar,A,"Agriculture, forestry & fishing",Warehouse
658,Waltham Forest,"69-75 : Professional, scientific & technical","Parker-Knight, Berry, Shepherd, Smith, Chadwick",0-632k,1,United Kingdom,0,16.31281726,19.17880477,E09000031,Waltham Forest,0.45783169,0.07779612,,69-75,M,"Professional, scientific & technical",Factory
659,South Norfolk,"01-03 : Agriculture, forestry & fishing","Pugh-Bailey, O'Brien, Webb, Thompson, Harris-Chapman",0-632k,1,United Kingdom,1.92E-08,10.36218935,7.745980453,E07000149,South Norfolk,0.077907477,0.028440284,,01-Mar,A,"Agriculture, forestry & fishing",Warehouse
660,Wiltshire,"69-75 : Professional, scientific & technical","Holland, Jones-Wilson, Baldwin-Hodgson, Pearson Sutton",0-632k,1,United Kingdom,0,18.79906312,22.89348297,E06000054,Wiltshire,0.286861101,0.018443169,,69-75,M,"Professional, scientific & technical",Other
661,City of Edinburgh,45 : Motor trades,"Brown, Dodd, Iqbal, Thompson, Patel",632k-10.2M,1,United Kingdom,,,,S12000036,City of Edinburgh,,,,45,G,Motor trades,Other
662,South Hams,"69-75 : Professional, scientific & technical","Humphreys, Thomas-Rogers, King, Burgess-Burton Burton",632k-10.2M,1,United Kingdom,0,2.79275659,2.783325886,E07000044,South Hams,0.172404977,0,,69-75,M,"Professional, scientific & technical",Shop
663,Mendip,41-43 : Construction,"Griffin-Frost, Arnold, King, Robinson, Simpson-Watson",0-632k,1,United Kingdom,0,23.50768589,17.57499249,E07000187,Mendip,0.330802147,0.12738407,,41-43,F,Construction,Other
664,Fermanagh and Omagh,55-56 : Accommodation & food services,"Watson, Gardner, Ali, James, Webb-Griffiths",0-632k,1,United Kingdom,,,,N09000006,Fermanagh and Omagh,,,,55-56,I,Accommodation & food services,Warehouse
665,Leicester,"69-75 : Professional, scientific & technical","Wilkinson, Sanders, Jones, Edwards, Gray-Cox",0-632k,1,United Kingdom,0,2.071066563,3.155094673,E06000016,Leicester,0.154889844,0,,69-75,M,"Professional, scientific & technical",Shop
666,Dumfries and Galloway,45 : Motor trades,"Burton-Gibson, Mahmood, Stokes, Young, Taylor-Henderson",0-632k,1,United Kingdom,,,,S12000006,Dumfries and Galloway,,,,45,G,Motor trades,Shop
667,Pembrokeshire,41-43 : Construction,"Stephenson, Scott, Gill, Wilkinson, Jones",0-632k,0,United Kingdom,0,18.42041465,3.592535567,W06000009,Pembrokeshire,0.401091492,0,,41-43,F,Construction,Office
668,Bury,"90-99 : Arts, entertainment, recreation & other","Jones, Martin-Hall, Murray, Mills, Thompson",0-632k,1,United Kingdom,0.016306561,17.62075215,22.6432639,E08000002,Bury,0.319271833,0.060889073,,90-99,R,"Arts, entertainment, recreation & other",Factory
669,Leicester,41-43 : Construction,"Johnson-Fisher, Swift, Turner, Butler, Tyler, Jones, Page",0-632k,1,United Kingdom,0,1.982376118,4.072601055,E06000016,Leicester,0.209571025,0,,41-43,F,Construction,Shop
670,Rotherham,41-43 : Construction,"Atkins, Boyle, Brookes, Alexander-Scott, Cameron, Anderson, Taylor",632k-10.2M,1,United Kingdom,0,16.41394222,34.11494058,E08000018,Rotherham,0.518278744,0.347777814,,41-43,F,Construction,Other
671,Pembrokeshire,05-39 : Production,"Hutchinson-Fraser, Davies-Gallagher, Jones, Blake-Hawkins Hooper, Gardner, Shepherd",0-632k,1,United Kingdom,0,4.96118074,1.052158605,W06000009,Pembrokeshire,2.960627687,0,,May-39,C,Production,Shop
672,Chesterfield,55-56 : Accommodation & food services,"Crawford, Kemp, Day, Stephenson, Brown-Jones",0-632k,1,United Kingdom,0,10.84552277,12.41682898,E07000034,Chesterfield,1.906845727,0.089287374,,55-56,I,Accommodation & food services,Warehouse
673,Neath Port Talbot,58-63 : Information & communication,"Simpson, Bowen-James, Woodward-Godfrey, Wilson-Hutchinson Hill-Byrne",0-632k,1,United Kingdom,0,9.524406193,3.382269945,W06000012,Neath Port Talbot,0.056733881,0,,58-63,J,Information & communication,Shop
674,Midlothian,41-43 : Construction,"Boyle, Houghton, Knowles, Williams, Jenkins, Jones, Savage",0-632k,1,United Kingdom,,,,S12000019,Midlothian,,,,41-43,F,Construction,Office
675,Hackney,"69-75 : Professional, scientific & technical","Phillips, Hughes, Lewis, Jones, Read, Griffiths, Jones",0-632k,1,United Kingdom,0,24.0704355,15.45618492,E09000012,Hackney,0.777549705,0.079265724,,69-75,M,"Professional, scientific & technical",Warehouse
676,Basingstoke and Deane,46 : Wholesale,"Price-Kirk, Warner, Mistry, Davis, Kaur, Brown, Baldwin",0-632k,1,United Kingdom,0,23.74850141,26.16203888,E07000084,Basingstoke and Deane,1.524568224,1.533802405,,46,G,Wholesale,Factory
677,Croydon,"69-75 : Professional, scientific & technical","Evans-Rice, Brown, Bradley, Davis, Barry, Conway, Hargreaves",0-632k,1,United Kingdom,0,1.759814357,1.464516076,E09000008,Croydon,0.093450484,0,,69-75,M,"Professional, scientific & technical",Shop
678,East Renfrewshire,41-43 : Construction,"Herbert, Lewis, James, Hargreaves, Porter, Allan, Taylor",0-632k,1,United Kingdom,,,,S12000011,East Renfrewshire,,,,41-43,F,Construction,Warehouse
679,Dartford,58-63 : Information & communication,"Wilson, Ward, Humphreys, Gill, Wood, Webster, Farmer",0-632k,0,United Kingdom,0,9.010308312,6.880032606,E07000107,Dartford,0.199250678,0,,58-63,J,Information & communication,Office
680,Stafford,"01-03 : Agriculture, forestry & fishing","Nash, Wright, Hunt, Stokes, Thomas, Bartlett, Ellis",0-632k,1,United Kingdom,0,3.176019526,3.247846161,E07000197,Stafford,0.047706792,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
681,Cardiff,"69-75 : Professional, scientific & technical","Willis, Begum, James-Thomas, Taylor-Brooks Roberts-Williams",0-632k,1,United Kingdom,0,3.26506814,3.68234733,W06000015,Cardiff,0.202598158,0,,69-75,M,"Professional, scientific & technical",Shop
682,Sheffield,41-43 : Construction,"Brown, Patel, Tomlinson, Davies, Clayton",0-632k,1,United Kingdom,0,18.78000418,27.44879009,E08000019,Sheffield,0.991942394,0.73748913,,41-43,F,Construction,Factory
683,Gosport,55-56 : Accommodation & food services,"Byrne, Clarke, Holloway, Ellis, Turner, Lloyd, Ellis",0-632k,1,United Kingdom,0,2.133986313,1.327874917,E07000088,Gosport,0.200569216,0,,55-56,I,Accommodation & food services,Shop
